stop_id,stop_name,stop_desc,stop_lat,stop_lon
550008,"ROCKAWAY BLVD/N CONDUIT AV","ROCKAWAY BLVD & N CONDUIT AV",  40.667706, -73.780563
550010,"DITMARS BLVD/36 ST","DITMARS BLVD & 36 ST",  40.774258, -73.908123
550011,"ROCKAWAY BLVD/BAISLEY BLVD","ROCKAWAY BLVD & BAISLEY BLVD",  40.672436, -73.785522
550012,"SUTPHIN BLVD/ROCKAWAY BLVD","SUTPHIN BLVD & ROCKAWAY BLVD",  40.673854, -73.788567
550013,"SUTPHIN BLVD/123 AV","SUTPHIN BLVD & 123 AV",  40.676202, -73.790313
550016,"SUTPHIN BLVD/FOCH BLVD","SUTPHIN BLVD & FOCH BLVD",  40.680656, -73.792031
550017,"SUTPHIN BLVD/116 AV","SUTPHIN BLVD & 116 AV",  40.682863, -73.792551
550019,"SUTPHIN BLVD/LINDEN BLVD","SUTPHIN BLVD & LINDEN BLVD",  40.686206, -73.793726
550021,"SUTPHIN BLVD/111 AV","SUTPHIN BLVD & 111 AV",  40.688809, -73.795603
550024,"SUTPHIN BLVD/109 AV","SUTPHIN BLVD & 109 AV",  40.691822, -73.798037
550025,"SUTPHIN BLVD/YATES RD","SUTPHIN BLVD & YATES RD",  40.693313, -73.799563
550027,"SUTPHIN BLVD/TUSKEGEE AIRMEN WAY","SUTPHIN BLVD & TUSKEGEE AIRMEN WAY",  40.694714, -73.802214
550028,"SUTPHIN BLVD/LIBERTY AV","SUTPHIN BLVD & LIBERTY AV",  40.696129, -73.804236
550030,"SUTPHIN BLVD/95 AV","SUTPHIN BLVD & 95 AV",  40.698331, -73.806328
550031,"SUTPHIN BLVD/ARCHER AV","SUTPHIN BLVD & ARCHER AV",  40.700523, -73.807598
